Instrument: Clarinet
Speed: 3600

Eb4: 8
Db4: 8
Eb4: 8+
F4: 16
F4: 8
Ab3: 4
F4: 8
Eb4: 8
Db4: 8
Eb4: 8
F4: 8
Ab4: 4
0: 8

Bb4: 8
F4: 4
Ab4: 16
Gb4: 8
F4: 16
Ab4: 8
Eb4: 4
F4: 8
Gb4: 8+
Ab4: 16
Gb4: 8
F4: 8
Ab4: 8
Eb4: 4
0: 8

Eb4: 8
Db4: 8
Eb4: 8+
F4: 16
F4: 8
Ab3: 4
F4: 8
Eb4: 8
Db4: 8
Eb4: 8
F4: 8
Ab4: 4+
Bb4: 8
F4: 4
Ab4: 16
Gb4: 8
F4: 16
Ab4: 8
Eb4: 4
F4: 8
Gb4: 8
Ab4: 8
Gb4: 8+
F4: 16
Ab4: 8
Eb4: 4
0: 8

Eb5: 4
Eb5: 4
Eb5: 8
Db4: 8
F4: 8
Ab4: 8
Bb4: 4
Bb4: 4
Bb4: 8
C4: 4
0: 8

Db5: 4+
C5: 8
Bb4: 8
Ab4: 8
Db4: 8
F4: 8
Ab4: 16
F4: 16
Ab4: 2+
0: 4

Eb5: 4
Eb5: 4
Eb5: 8
Db4: 8
F4: 8
Ab4: 8
Bb4: 4
Bb4: 4
Bb4: 8
C4: 4
0: 8
F4: 16
Gb4: 16
Ab4: 4
Ab4: 8
Ab4: 8
Gb4: 8
Db4: 8
Bb3: 8
Ab3: 2

0: 8
Eb4: 8
F4: 8
Ab4: 8
F4: 8
Eb4: 8
Db4: 4

Eb4: 8
Db4: 8
Eb4: 8+
F4: 16
F4: 8
Ab3: 4
0: 8
Eb4: 8
Db4: 8
Eb4: 8+
F4: 16
Ab4: 4
0: 8
Bb4: 8
F4: 4
Ab4: 16
Gb4: 8
F4: 16
Ab4: 8
Eb4: 4
F4: 8
Gb4: 8+
Ab4: 16
Gb4: 8+
F4: 16
Ab4: 8
Eb4: 4
0: 8

Eb4: 8
Db4: 8
Eb4: 8+
F4: 16
F4: 8
Ab3: 4
F4: 8
Eb4: 8
Db4: 8
Eb4: 8+
F4: 16
Ab4: 4
0: 8
Bb4: 8
F4: 4
Ab4: 16
Gb4: 8
F4: 16
Ab4: 8
Eb4: 4
F4: 8
Gb4: 8+
Ab4: 16
Gb4: 8
F4: 8
Ab4: 8
Eb4: 4
0: 8

Ab4: 8
Eb5: 4
Eb5: 4
Eb5: 8
Db4: 8
F4: 8
Ab4: 8
Bb4: 4
Bb4: 4
Bb4: 8
C4: 4
0: 8
Db5: 4+
C5: 8
Bb4: 8
Ab4: 8
Db4: 8
F4: 8
Ab4: 16
F4: 16
Ab4: 2+
0: 4

Eb5: 4
Eb5: 4
Eb5: 8
Db4: 8
F4: 8
Ab4: 8
Bb4: 4
Bb4: 4
Bb4: 8
C4: 4
0: 8
F4: 16
Gb4: 16
Ab4: 4
Ab4: 8
Ab4: 8
Gb4: 8
Db5: 8
Bb4: 8
Ab4: 2
Eb4: 8
Eb4: 4
Eb4: 8
F4: 16
Ab4: 16
F4: 16
Eb4: 16
Db4: 4

Eb5: 4
Eb5: 4
Eb5: 8
Db4: 8
F4: 8
Ab4: 8
Bb4: 4
Bb4: 4
Bb4: 8
C4: 4
0: 8
Db5: 4+
C5: 8
Bb4: 8
Ab4: 8
Db4: 8
F4: 8
Ab4: 16
F4: 16
Ab4: 2+
0: 4

Eb5: 4
Eb5: 4
Eb5: 8
Db4: 8
F4: 8
Ab4: 8
Bb4: 4
Bb4: 4
Bb4: 8
C4: 4
0: 8
Db4: 4+
Ab4: 8
Ab4: 8
Gb4: 8
Db5: 8+
Bb4: 16
Ab4: 2

Eb4: 8
Eb4: 4
Eb4: 8
F4: 8
Ab4: 8
F4: 8+
Eb4: 16
Db4: 2



Eb5: 4
Eb5: 4
Eb5: 8
Db4: 8
F4: 8
Ab4: 8
Bb4: 4
Bb4: 4
Bb4: 8
C4: 4
0: 8

Db5: 4+
C5: 8
Bb4: 8
Ab4: 8
Db4: 8
F4: 8
Ab4: 16
F4: 16
Ab4: 2+
0: 4

Eb5: 4
Eb5: 4
Eb5: 8
Db4: 8
F4: 8
Ab4: 8
Bb4: 4
Bb4: 4
Bb4: 8
C4: 4



F5: 16
Gb5: 16
Ab5: 4
Ab5: 8
Ab5: 8
Gb5: 8
Db5: 8
Bb4: 8
Ab4: 2

Eb4: 8
Eb4: 4
Eb4: 8
F4: 8
Ab4: 8
F4: 8
Eb4: 8
Db4: 1+
