Instrument: Clarinet
Speed: 1800

F#4: 8
G4: 8
F#4: 2+

E4: 8
E4: 8
E4: 8
A4: 4+
E4: 4

D4: 4+
D4: 8
D4: 4
D5: 4
A4: 2+

0: 8
G4: 8
F#4: 8
G4: 8
F#4: 2+

E4: 8
E4: 8
E4: 8
A4: 4+
E4: 4

D4: 4+
D4: 8
D4: 4
D5: 4
A4: 2+
0: 4

F#4: 8
G4: 8
F#4: 4+
G4: 8
F#4: 8
G4: 8
F#4: 8
G4: 8
F#4: 4+
A#4: 8
C#5: 8
E5: 8
E5: 4
D5: 4
B4: 4
F#4: 4
E4: 2

D4: 4
E4: 4
F#4: 8
G4: 8
F#4: 2
B4: 4
A4: 2
F#4: 2
E4: 4+
F#4: 4+
G4: 4+
C#4: 4+
D4: 1

; Music
A4: 8
Bb4: 8
A4: 2+
G4: 8
G4: 8
G4: 8
C5: 4+
G4: 4
F4: 4+
F4: 8
F4: 4
F5: 4
C5: 1

A4: 8
Bb4: 8
A4: 2+
G4: 8
G4: 8
G4: 8
C5: 4+
G4: 4
F4: 4+
F4: 8
F4: 4
F5: 4
C5: 4+
0: 4+

; Not just music!
Bb4: 8
A4: 8
Bb4: 8
A4: 4
0: 8
Bb4: 8
A4: 8
Bb4: 8
A4: 8
Bb4: 8
A4: 4+
C#5: 8
E5: 8
G5: 8
G5: 4
F5: 4
D5: 4
A4: 4
G4: 2
F4: 4
G4: 4
A4: 8
Bb4: 8
A4: 2
D5: 4
C5: 2
A4: 2
G4: 4+
A4: 4+
Bb4: 4+
E4: 4+
F4: 1

F4: 2
F5: 2
E5: 4
E5: 4
D5: 4
C5: 4
Eb5: 2
Bb4: 2
G4: 2

0: 4
G4: 4
A4: 8
Bb4: 8
A4: 2
D5: 4
C5: 2
A4: 2
G4: 2
D4: 2
E4: 2
0: 2

A4: 8
Bb4: 8
A4: 2+
G4: 8
G4: 8
G4: 8
C5: 4+
G4: 4
F4: 4+
F4: 8
F4: 4
F5: 4
C5: 2+
0: 8

Bb4: 8
A4: 8
Bb4: 8
A4: 2+
G4: 8
G4: 8
G4: 8
C5: 4+
G4: 4
F4: 4+
F4: 8
F4: 4
F5: 4
C5: 2+

0: 4
Bb4: 8
A4: 8
Bb4: 8
A4: 4+
Bb4: 8
A4: 8
Bb4: 8
A4: 8
Bb4: 8
A4: 4+
C#5: 8
E5: 8
G5: 8
G5: 4
F5: 4
D5: 4
A4: 4
G4: 2

F4: 4
G4: 4
A4: 8
Bb4: 8
A4: 2
D5: 4
C5: 2
A4: 2
G4: 2
A4: 2
Bb4: 2
E5: 2
F5: 1

; Music
A4: 8
Bb4: 8
A4: 2+
G4: 8
G4: 8
G4: 8
C5: 4+
G4: 4
F4: 4+
F4: 8
F4: 4
F5: 4
C5: 1

; Raoul
A4: 8
Bb4: 8
A4: 2+
G4: 8
G4: 8
G4: 8
C5: 4+
G4: 4
; Music
F4: 4+
F4: 8
F4: 4
F5: 4
C5: 1

; Raoul
A4: 8
Bb4: 8
A4: 4+
Bb4: 8
A4: 8
Bb4: 8
A4: 8
Bb4: 8
A4: 4+
C#5: 8
E5: 8
G5: 8
G5: 4
F5: 4
D5: 4
A4: 4
G4: 2

F4: 4
G4: 4
A4: 8
Bb4: 8
A4: 2
D5: 4
C5: 2
A4: 2
G4: 2
A4: 2
Bb4: 2
E4: 2
F4: 2

; Christine
A4: 8
Bb4: 8
A4: 4+
Bb4: 8
A4: 8
Bb4: 8
A4: 8
Bb4: 8
A4: 4+
C#5: 8
E5: 8
G5: 8
G5: 4
F5: 4
D5: 4
A4: 4
G4: 2
F4: 4
G4: 4
A4: 8
Bb4: 8
A4: 2
D5: 4
C5: 2
A4: 2
G4: 2
A4: 2
Bb4: 2+
0: 8

G4: 16
A4: 16
Bb4: 8
G4: 8
D5: 8
Bb4: 8
F5: 4
0: 8
Bb4: 16
C5: 16
D5: 8
Bb4: 8
F5: 8
D5: 8
G5: 4
0: 16
A4: 16
Bb4: 16
C5: 16
D5: 16
C5: 16
D5: 16
E5: 16
F5: 16
D5: 16
E5: 16
F5: 16
G5: 4+
C5: 8
C6: 2+
F5: 8
F5: 1
0: 1
